date,time,line,start,stop,E,N,F,old_age_seat,is_empty,Female,Male,isempty_station,child,teenage,Youth,middle_age,old_age,badge,pregnant,heavy,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
2019. 8. 3.,18:31:00,1,구로,온수,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 3.,18:43:00,7,온수,신중동,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 3.,18:43:00,7,온수,까치울,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 3.,18:46:00,7,까치울,춘의,1,0,0,1,0,1,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 3.,18:50:00,7,춘의,신중동,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 5.,8:27:00,1,병점,신길,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 5.,8:27:00,1,병점,신길,0,0,1,0,0,1,0,,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2019. 8. 3.,8:36:00,1,수원,신길,1,0,0,0,0,0,1,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 5.,8:36:00,1,수원,군포,1,0,0,0,1,,,5,,,,,,,,,,,,,,,,,,
2019. 8. 5.,8:45:00,1,병점,수원,0,0,1,1,0,0,1,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 5.,8:51:00,1,수원,신길,0,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 5.,8:53:00,1,수원,신길,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 5.,8:53:00,1,금정,안양,0,1,0,0,1,,,2,,,,,,,,,,,,,,,,,,
2019. 8. 5.,9:00:00,1,병점,신길,0,0,1,1,0,1,0,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 5.,9:00:00,1,수원,신길,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 5.,9:08:00,1,병점,신길,0,0,1,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
